GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
parking-system,com.parkit.parkingsystem.service,FareCalculatorService,5,77,1,8,1,17,1,7,0,3
parking-system,com.parkit.parkingsystem.service,ParkingService,0,245,2,9,0,67,2,11,0,7
parking-system,com.parkit.parkingsystem.service,InteractiveShell,72,0,6,0,27,0,8,0,4,0
parking-system,com.parkit.parkingsystem,App,29,0,0,0,9,0,3,0,3,0
parking-system,com.parkit.parkingsystem,Password,27,19,0,0,11,5,5,4,5,4
parking-system,com.parkit.parkingsystem.model,ParkingSpot,34,28,8,0,10,11,7,6,3,6
parking-system,com.parkit.parkingsystem.model,Ticket,7,71,1,3,3,25,2,14,1,13
parking-system,com.parkit.parkingsystem.constants,Fare,3,0,0,0,1,0,1,0,1,0
parking-system,com.parkit.parkingsystem.constants,ParkingType,0,24,0,0,0,2,0,1,0,1
parking-system,com.parkit.parkingsystem.constants,DBConstants,3,0,0,0,1,0,1,0,1,0
parking-system,com.parkit.parkingsystem.util,InputReaderUtil,97,10,12,0,31,2,11,1,5,1
parking-system,com.parkit.parkingsystem.dao,TicketDAO,16,311,2,4,2,75,2,7,0,6
parking-system,com.parkit.parkingsystem.dao,Discount,0,38,0,4,0,11,0,5,0,3
parking-system,com.parkit.parkingsystem.dao,ParkingSpotDAO,1,120,3,3,0,34,3,4,0,4
parking-system,com.parkit.parkingsystem.config,DataBaseConfig,64,34,3,3,14,17,6,5,3,5
